"stop_id","fermata","descrizione","lat","lon"
121,5137,"Zattere Gesuati",45.42905,12.327344
122,5138,"Rialto Mercato",45.439453,12.335298
123,5139,"Sacca Fisola SX",45.428959,12.316327
124,5142,"Deposito Tronchetto",45.438442,12.3036
125,5144,"Deposito F.te Nove",45.444786,12.337988
126,5146,"Deposito S. Elena",45.424648,12.362938
127,5151,"Burano ""A"" ponente",45.48769,12.415232
128,5152,"Lido (S.M.E.) ""E""",45.417358,12.36754
129,5153,"Parcheggio Cantiere S.Ele",45.431026,12.362642
130,5154,"Deposito Chioggia P.tta V",45.223713,12.28028
131,5155,"Deposito S.Nicolo'",45.425369,12.377941
132,5156,"Parcheggio Lido",45.418121,12.369387
133,5157,"Parcheggio P.le Roma",45.439991,12.318908
134,5158,"Lido (S.M.E.) ""C"" dir. P.",45.417698,12.368246
135,5159,"Spirito Santo",45.42831,12.331958
136,5161,"Deposito Pieta'",45.433533,12.344774
137,5164,"San Vio",45.431099,12.330381
138,5166,"Rialto ""A""",45.436981,12.334541
139,5189,"Guglie sx",45.444424,12.324183
140,5190,"Ferrovia ""B""",45.440685,12.321736
141,5191,"Ferrovia ""E""",45.439873,12.32088
142,5500,"Casino' di Venezia",45.442341,12.329644
143,2537,"S. Maria di Sala Noalese",45.517986,12.035875
144,3427,"ProzzoloTogliatti",45.368885,12.09308
145,3428,"Gramsci Togliatti",45.368736,12.093196
146,3429,"Adria Molinterran",45.05106,12.062583
147,3430,"San Pietro Chiesa",45.115696,12.185645
148,3432,"Dolo Civico 75",45.427647,12.105275
149,3433,"Mira Albrizzi",45.431973,12.113668
150,3434,"MIra centro",45.433361,12.121996
151,3435,"Oriago Stazione",45.448948,12.166125
152,3436,"Oriago Centro",45.451851,12.171876
153,3437,"Adria Errmont",45.044586,12.059816
154,3438,"Lugo Zona Industriale",45.372032,12.134615
155,3439,"Maddalena Rottanova",45.141716,12.01344
156,3440,"Adria Ospedale",45.048107,12.055657
157,3441,"Adria Ospedale",45.04813,12.055812
158,3444,"Baldin Cavanella",45.109657,12.245361
159,3446,"Fiesso D'Artico Barbariga",45.412716,12.017199
160,3447,"Fiesso Barbariga",45.412655,12.017598
161,3448,"Fiesso D'Artico Piove",45.418388,12.050804
162,3449,"Fiesso Piove",45.418423,12.05337
163,3450,"Gorzone Ca' Pasqua",45.183666,12.242985
164,3451,"Mirano Colombo",45.495255,12.112058
165,3452,"Mirano Colombo",45.495247,12.111799
166,3453,"Mirano Vicenza",45.495384,12.117554
167,3454,"Cavarzere Tartaro",45.124363,12.084412
168,3455,"Cavarzere Ca' Tron",45.120548,12.112724
169,3456,"Cavarzere 2 Ca' Briani",45.115852,12.139364
170,3457,"Cavarzere Punta Pali",45.10265,12.147126
171,3458,"Cavarzere Acquamarza",45.102539,12.138394
172,3459,"Cavarzere Capitello",45.094872,12.114182
173,3460,"Cavarzere Civico 60",45.087654,12.109684
174,3461,"Grignella Strada Poli",45.072025,12.099201
175,3462,"Cavarzere Grignella",45.075378,12.093847
176,3463,"Cavarzere Cuora",45.078869,12.088486
177,3464,"Salesiani Ferrarese",45.491184,12.205716
178,3465,"Agenzia  Entrate",45.469978,12.210017
179,3466,"Romea Centro Commerciale",45.188038,12.27893
180,3475,"Mogliano Gris",45.558361,12.269529
181,3476,"Mogliano Gris",45.558105,12.269232
182,3477,"Padova Turazza",45.409061,11.903627
183,3480,"Martellago Piazza Bertati",45.546009,12.157515
184,3481,"Mirano Scuole",45.49617,12.095824
185,3490,"Spinea Martiri",45.492313,12.150464
